'OnlyDate','errors','numIds'
'1970-01-01','188','147'
'1970-01-02','1','1'
'2021-02-12','3','1'
'2021-02-13','1','1'
'2021-02-24','1','1'
'2021-02-28','2','1'
'2021-03-02','5','2'
'2021-03-04','17','16'
'2021-03-08','42','40'
'2021-03-09','23','23'
'2021-03-10','18','18'
'2021-03-11','3','1'
'2021-03-12','6','2'
'2021-03-15','2','2'
'2021-03-16','1','1'
'2021-03-17','6','5'
'2021-03-18','3','1'
'2021-03-19','1','1'
'2021-03-22','4','2'
'2021-03-23','17','16'
'2021-03-24','9','8'
'2021-03-25','7','6'
'2021-03-26','5','5'
'2021-03-28','1','1'
'2021-03-29','25','23'
'2021-03-30','21','20'
'2021-03-31','5','5'
'2021-04-05','1','1'
'2021-04-06','8','8'
'2021-04-07','13','13'
'2021-04-09','5','5'
'2021-04-12','14','14'
'2021-04-13','25','22'
'2021-04-14','8','6'
'2021-04-15','11','6'
'2021-04-16','9','5'
'2021-04-19','8','6'
'2021-04-20','14','13'
'2021-04-21','8','8'
'2021-04-26','3','3'
'2021-04-27','5','3'
'2021-04-28','8','8'
'2021-04-29','7','7'
'2021-05-02','1','1'
'2021-05-03','6','6'
'2021-05-04','4','3'
'2021-05-05','2','2'
'2021-05-06','11','11'
'2021-05-07','13','13'
'2021-05-10','17','17'
'2021-05-11','26','25'
'2021-05-12','33','31'
'2021-05-13','33','32'
'2021-05-14','25','24'
'2021-05-17','27','27'
'2021-05-18','27','25'
'2021-05-19','23','21'
'2021-05-20','14','9'
'2021-05-21','4','4'
'2021-05-24','20','10'
'2021-05-25','36','36'
'2021-05-26','2','1'
'2021-05-27','2','2'
'2021-05-28','2','2'
'2021-06-01','5','3'
'2021-06-02','5','5'
'2021-06-07','2','2'
'2021-06-08','3','3'
'2021-06-09','4','2'
'2021-06-10','4','3'
'2021-06-11','8','7'
'2021-06-12','1','1'
'2021-06-15','5','4'
'2021-06-16','4','1'
'2021-06-17','4','3'
'2021-06-18','4','4'
'2021-06-21','6','6'
'2021-06-22','11','9'
'2021-06-23','12','12'
'2021-06-24','4','4'
'2021-06-26','1','1'
'2021-06-27','5','2'
'2021-06-28','4','3'
'2021-06-29','1','1'
'2021-06-30','3','3'
'2021-07-01','10','10'
'2021-07-05','2','2'
'2021-07-07','1','1'
'2021-07-08','4','3'
'2021-07-12','13','12'
'2021-07-13','9','6'
'2021-07-14','7','7'
'2021-07-15','12','12'
'2021-07-16','8','8'
'2021-07-18','1','1'
'2021-07-19','12','12'
'2021-07-20','17','17'
'2021-07-21','13','13'
'2021-07-22','18','17'
'2021-07-23','7','6'
'2021-07-25','4','1'
'2021-07-26','8','3'
'2021-07-27','8','7'
'2021-07-28','30','30'
'2021-07-29','5','4'
'2021-07-30','21','17'
'2021-07-31','4','1'
'2021-08-01','1','1'
'2021-08-03','1','1'
'2021-08-04','7','7'
'2021-08-05','7','7'
'2021-08-06','2','2'
'2021-08-07','1','1'
'2021-08-09','9','9'
'2021-08-10','4','4'
'2021-08-13','4','4'
'2021-08-14','1','1'
'2021-08-15','1','1'
'2021-08-17','6','6'
'2021-08-18','4','4'
'2021-08-20','3','3'
'2021-08-21','1','1'
'2021-08-22','3','2'
'2021-08-23','5','4'
'2021-08-24','5','4'
'2021-08-25','5','4'
'2021-08-26','9','5'
'2021-08-27','2','2'
'2021-08-28','1','1'
'2021-08-29','2','2'
'2021-08-30','21','20'
'2021-08-31','19','14'
'2021-09-01','6','6'
'2021-09-02','5','5'
'2021-09-03','4','3'
'2021-09-04','1','1'
'2021-09-05','1','1'
'2021-09-06','4','4'
'2021-09-07','5','5'
'2021-09-08','15','13'
'2021-09-09','17','5'
'2021-09-10','28','11'
'2021-09-11','3','3'
'2021-09-12','7','3'
'2021-09-13','14','10'
'2021-09-14','2','2'
'2021-09-16','11','11'
'2021-09-17','53','21'
'2021-09-19','1','1'
'2021-09-20','11','10'
'2021-09-21','7','4'
'2021-09-22','16','13'
'2021-09-23','11','4'
'2021-09-24','14','5'
'2021-09-25','19','2'
'2021-09-26','8','1'
'2021-09-27','8','4'
'2021-09-28','7','5'
'2021-09-29','2','2'
'2021-09-30','11','5'
'2021-10-01','18','5'
'2021-10-02','2','2'
'2021-10-03','4','2'
'2021-10-04','8','3'
'2021-10-05','7','4'
'2021-10-06','2','2'
'2021-10-08','1','1'
'2021-10-09','2','1'
'2021-10-10','1','1'
'2021-10-11','13','9'
'2021-10-13','3','1'
'2021-10-14','22','10'
'2021-10-15','6','6'
'2021-10-18','5','5'
'2021-10-19','3','2'
'2021-10-20','27','19'
'2021-10-21','2','2'
'2021-10-22','5','5'
'2021-10-25','29','29'
'2021-10-26','13','12'
'2021-10-27','6','4'
'2021-10-28','13','10'
'2021-10-29','20','20'
'2021-11-02','3','3'
'2021-11-03','31','31'
'2021-11-04','9','4'
'2021-11-05','6','5'
'2021-11-07','1','1'
'2021-11-08','1','1'
'2021-11-09','2','2'
'2021-11-10','2','2'
'2021-11-11','14','13'
'2021-11-12','6','4'
'2021-11-13','4','2'
'2021-11-14','1','1'
'2021-11-15','3','2'
'2021-11-16','21','11'
'2021-11-17','44','43'
'2021-11-18','3','3'
'2021-11-19','8','3'
'2021-11-21','1','1'
'2021-11-22','5','2'
'2021-11-23','14','12'
'2021-11-24','8','6'
'2021-11-25','8','6'
'2021-11-26','3','2'
'2021-11-27','4','1'
'2021-11-28','5','1'
'2021-11-29','7','4'
'2021-11-30','3','2'
'2021-12-01','6','6'
'2021-12-02','10','6'
'2021-12-03','4','4'
'2021-12-04','4','2'
'2021-12-05','9','1'
'2021-12-06','6','1'
'2021-12-07','14','13'
'2021-12-08','7','4'
'2021-12-09','4','4'
'2021-12-10','5','2'
'2021-12-11','2','1'
'2021-12-12','2','2'
'2021-12-13','2','2'
'2021-12-14','11','6'
'2021-12-15','4','4'
'2021-12-16','5','5'
'2021-12-17','12','11'
'2021-12-20','13','13'
'2021-12-22','4','4'
'2021-12-23','32','32'
'2021-12-25','1','1'
'2021-12-26','2','1'
'2021-12-27','5','5'
'2021-12-28','3','2'
'2021-12-29','2','1'
'2021-12-30','3','1'
'2021-12-31','4','2'
'2022-01-01','1','1'
'2022-01-03','11','11'
'2022-01-04','9','5'
'2022-01-05','2','1'
'2022-01-06','5','2'
'2022-01-07','16','4'
'2022-01-08','4','2'
'2022-01-09','5','2'
'2022-01-10','19','3'
'2022-01-11','19','11'
'2022-01-12','28','27'
'2022-01-13','12','12'
'2022-01-14','15','11'
'2022-01-15','1','1'
'2022-01-16','3','2'
'2022-01-17','4','4'
'2022-01-18','8','4'
'2022-01-19','8','8'
'2022-01-20','11','10'
'2022-01-21','4','2'
'2022-01-22','5','2'
'2022-01-24','1','1'
'2022-01-25','1','1'
'2022-01-26','25','22'
'2022-01-27','27','21'
'2022-01-28','81','66'
'2022-01-29','2','2'
'2022-01-30','1','1'
'2022-01-31','1','1'
'2022-02-01','44','44'
'2022-02-02','9','8'
'2022-02-03','7','4'
'2022-02-04','6','6'
'2022-02-05','2','2'
'2022-02-06','1','1'
'2022-02-07','18','16'
'2022-02-08','20','20'
'2022-02-09','10','10'
'2022-02-10','41','41'
'2022-02-11','5','4'
'2022-02-13','1','1'
'2022-02-14','18','18'
'2022-02-15','53','51'
'2022-02-16','21','21'
'2022-02-17','43','43'
'2022-02-18','11','11'
'2022-02-21','14','14'
'2022-02-22','39','38'
'2022-02-23','5','5'
'2022-02-24','19','19'
'2022-02-25','37','37'
'2022-02-28','3','2'
'2022-03-01','15','14'
'2022-03-02','43','38'
'2022-03-03','13','12'
'2022-03-05','2','2'
'2022-03-06','3','2'
'2022-03-07','1','1'
'2022-03-08','15','14'
'2022-03-09','2','2'
'2022-03-10','12','7'
'2022-03-11','2','1'
'2022-03-14','2','2'
'2022-03-15','5','5'
'2022-03-16','9','8'
'2022-03-17','5','5'
'2022-03-18','11','11'
'2022-03-22','5','5'
'2022-03-23','8','7'
'2022-03-24','1','1'
'2022-03-25','36','34'
'2022-03-26','1','1'
'2022-03-28','14','14'
'2022-03-29','7','5'
'2022-03-30','4','4'
'2022-03-31','5','5'
'2022-04-01','4','4'
'2022-04-03','1','1'
'2022-04-04','1','1'
'2022-04-05','5','5'
'2022-04-06','10','5'
'2022-04-07','14','14'
'2022-04-08','3','3'
'2022-04-11','7','5'
'2022-04-12','6','4'
'2022-04-13','4','4'
'2022-04-14','4','4'
'2022-04-15','1','1'
'2022-04-16','1','1'
'2022-04-18','4','3'
'2022-04-19','3','2'
'2022-04-20','1','1'
'2022-04-21','7','7'
'2022-04-22','2','2'
'2022-04-23','2','2'
'2022-04-25','6','5'
'2022-04-26','4','4'
'2022-04-27','13','8'
'2022-04-28','5','4'
'2022-04-29','30','11'
'2022-04-30','9','2'
'2022-05-01','2','2'
'2022-05-02','1','1'
'2022-05-03','4','3'
'2022-05-04','3','2'
'2022-05-05','21','17'
'2022-05-06','12','11'
'2022-05-07','3','2'
'2022-05-08','5','5'
'2022-05-09','16','16'
'2022-05-10','18','18'
'2022-05-11','23','22'
'2022-05-12','18','16'
'2022-05-13','20','18'
'2022-05-16','18','17'
'2022-05-17','14','13'
'2022-05-18','23','22'
'2022-05-19','23','19'
'2022-05-20','7','5'
'2022-05-21','8','5'
'2022-05-22','2','2'
'2022-05-23','6','3'
'2022-05-24','4','4'
'2022-05-25','7','5'
'2022-05-26','8','8'
'2022-05-27','16','12'
'2022-05-28','5','4'
'2022-05-29','3','3'
'2022-05-30','2','2'
'2022-05-31','1','1'
'2022-06-01','9','7'
'2022-06-03','2','2'
'2022-06-04','1','1'
'2022-06-05','2','1'
'2022-06-06','6','6'
'2022-06-07','16','14'
'2022-06-08','3','3'
'2022-06-09','19','16'
'2022-06-12','1','1'
'2022-06-13','6','2'
'2022-06-14','20','16'
'2022-06-15','24','20'
'2022-06-16','11','10'
'2022-06-17','27','26'
'2022-06-18','20','3'
'2022-06-19','23','2'
'2022-06-20','19','3'
'2022-06-21','11','9'
'2022-06-22','23','17'
'2022-06-23','21','17'
'2022-06-24','10','8'
'2022-06-27','20','13'
'2022-06-28','10','10'
'2022-06-29','20','16'
'2022-06-30','6','6'
'2022-07-02','4','4'
'2022-07-03','1','1'
'2022-07-04','3','3'
'2022-07-05','7','5'
'2022-07-06','18','14'
'2022-07-07','9','8'
'2022-07-08','11','7'
'2022-07-10','1','1'
'2022-07-11','14','13'
'2022-07-12','17','15'
'2022-07-13','6','4'
'2022-07-14','7','7'
'2022-07-15','4','4'
'2022-07-16','2','2'
'2022-07-17','1','1'
'2022-07-18','24','21'
'2022-07-19','7','5'
'2022-07-20','4','4'
'2022-07-21','5','5'
'2022-07-22','7','7'
'2022-07-24','1','1'
'2022-07-25','7','5'
'2022-07-26','4','4'
'2022-07-27','11','11'
'2022-07-28','7','4'
'2022-07-29','5','5'
'2022-07-30','3','3'
'2022-07-31','1','1'
'2022-08-01','11','9'
'2022-08-02','5','5'
'2022-08-03','7','4'
'2022-08-04','11','9'
'2022-08-05','3','3'
'2022-08-06','1','1'
'2022-08-07','2','2'
'2022-08-08','5','5'
'2022-08-09','1','1'
'2022-08-10','5','3'
'2022-08-11','2','2'
'2022-08-12','4','3'
'2022-08-13','2','1'
'2022-08-14','2','1'
'2022-08-16','9','4'
'2022-08-17','4','2'
'2022-08-18','6','6'
'2022-08-19','8','6'
'2022-08-20','7','2'
'2022-08-21','2','2'
'2022-08-22','1','1'
'2022-08-23','10','6'
'2022-08-24','4','2'
'2022-08-25','7','7'
'2022-08-26','10','5'
'2022-08-28','1','1'
'2022-08-29','8','5'
'2022-08-30','7','7'
'2022-08-31','29','18'
'2022-09-01','6','4'
'2022-09-02','5','5'
'2022-09-05','10','8'
'2022-09-06','6','3'
'2022-09-07','12','9'
'2022-09-08','16','5'
'2022-09-09','12','12'
'2022-09-10','2','1'
'2022-09-12','7','6'
'2022-09-13','32','4'
'2022-09-14','2','2'
'2022-09-15','4','3'
'2022-09-16','7','4'
'2022-09-19','4','3'
'2022-09-20','4','4'
'2022-09-21','2','2'
