MES,CFC,DisIMei,OperacionResult,DiasMes,ResultadoSegundos
1970-01,189,91747,484.933690589057,31,14156.82689214612
2021-02,7,594,84.3561549844961,28,343559.61302776594
2021-03,221,25794,116.21421506097148,31,12067.463503888735
2021-04,147,32194,218.5064213441733,30,17592.366407532372
2021-05,328,90809,276.3564057741555,31,8151.097327638209
2021-06,96,143639,1495.7395276197697,30,26990.97637543037
2021-07,214,258944,1209.5186226907808,31,12510.715363225205
2021-08,124,292410,2357.645125944271,31,21595.41980550985
2021-09,291,222476,764.0222276978751,30,8901.389876628906
2021-10,212,232309,1095.29709372865,31,12628.196651196535
2021-11,217,250993,1156.1496975069472,30,11939.536225862901
2021-12,176,289625,1645.0965402534862,31,15213.557439499136
2022-01,329,300481,912.8160181299744,31,8136.57576671844
2022-02,427,327270,765.9401722316743,28,5661.876935444331
2022-03,221,357996,1619.3913512551578,31,12115.715804650932
2022-04,147,389729,2650.717655636288,30,17629.327464492653
2022-05,293,500030,1706.086981872238,31,9138.618427387562
2022-06,330,613447,1858.430258189428,30,7852.432613130389
2022-07,191,769165,4026.541864118623,31,14021.295468274453
2022-08,174,727190,4178.752853619948,31,15391.261765337353
2022-09,221,639998,2895.4185232557256,30,11726.48166444089
2022-10,350,699474,1997.997101148575,31,7650.656687334116
2022-11,552,590170,1068.648472744549,30,4693.4558539977825
2022-12,1186,542859,457.2224147046338,31,2255.879547994767
2023-01,1385,559598,403.5416707514208,31,1931.4686809827867
2023-02,1663,553293,332.2075062183428,28,1452.5331045999405
2023-03,1916,710031,370.0796286854804,31,1396.02535307781
2023-04,1992,817475,409.8788127521506,30,1299.618805044282
2023-05,1938,1050925,541.7728080002829,31,1380.768645667348
2023-06,1813,1285422,708.5026402409846,30,1428.6661061539573
2023-07,1537,1461639,950.46868265572,31,1741.6990923374929
2023-08,815,1508313,1850.190752505988,31,3285.492408745425
2023-09,1031,1438280,1394.533887866599,30,2513.1628315419975
2023-10,2021,1409917,697.1332302896523,31,1324.3344423876047
2023-11,1271,1093038,859.4825938371362,30,2038.1531870125805
2023-12,1312,1010150,769.431294133891,31,2040.137383763019
2024-01,1381,957446,692.7989383681273,31,1938.0650987368397
2024-02,4026,919220,227.8205482737574,29,620.990802805342
2024-03,8749,1130883,128.75789662473753,31,304.952104081233
2024-04,1913,1381158,721.4852478012742,30,1354.0013251929925
2024-05,2956,1791783,605.6510802690382,31,905.3416922655209
2024-06,2670,2095169,784.2073843722553,30,970.1678195376535
2024-07,3177,2759962,868.2320412559039,31,842.574172868979
2024-08,2431,2584693,1062.7220523953113,31,1101.250610860014
2024-09,2714,2254263,830.1052791248021,30,954.4728736138983
2024-10,3469,2048891,590.1285702320343,31,771.4418983291356
2024-11,2596,1658044,638.1917030128353,30,997.6773199078367
2024-12,2676,1528363,570.6369989569112,31,1000.0203734362784
2025-01,2053,1471992,716.4954998646003,31,1303.7173753915413
2025-02,790,600591,759.7416624654511,28,3060.2640229980457
